╭─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────╮
│                          balance_fdw_lp │                              applicants │                               bank_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                                    city │                                       1 │
│                          balance_fdw_lp │                              applicants │                                 country │                                       1 │
│                          balance_fdw_lp │                              applicants │                        driver_sid_state │                                       1 │
│                          balance_fdw_lp │                              applicants │                                   email │                                       1 │
│                          balance_fdw_lp │                              applicants │                           employer_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                    employer_periodicity │                                       1 │
│                          balance_fdw_lp │                              applicants │                              first_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                              ip_address │                                       1 │
│                          balance_fdw_lp │                              applicants │                               last_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                  social_security_number │                                       1 │
│                          balance_fdw_lp │                              applicants │           social_security_number_last_4 │                                       1 │
│                          balance_fdw_lp │                              applicants │                    spouse_address_line1 │                                       1 │
│                          balance_fdw_lp │                              applicants │                    spouse_address_line2 │                                       1 │
│                          balance_fdw_lp │                              applicants │                             spouse_city │                                       1 │
│                          balance_fdw_lp │                              applicants │                       spouse_first_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                        spouse_last_name │                                       1 │
│                          balance_fdw_lp │                              applicants │                            spouse_state │                                       1 │
│                          balance_fdw_lp │                              applicants │                              state_code │                                       1 │
│                          balance_fdw_lp │                              applicants │                       user_agent_string │                                       1 │
│                          balance_fdw_lp │                                  client │                                 address │                                       1 │
│                          balance_fdw_lp │                                  client │                                address2 │                                       1 │
│                          balance_fdw_lp │                                  client │                                bankname │                                       1 │
│                          balance_fdw_lp │                                  client │                                    city │                                       1 │
│                          balance_fdw_lp │                                  client │                                 dlstate │                                       1 │
│                          balance_fdw_lp │                                  client │                            emailaddress │                                       1 │
│                          balance_fdw_lp │                                  client │                            employername │                                       1 │
│                          balance_fdw_lp │                                  client │                       employmentaddress │                                       1 │
│                          balance_fdw_lp │                                  client │                      employmentaddress2 │                                       1 │
│                          balance_fdw_lp │                                  client │                          employmentcity │                                       1 │
│                          balance_fdw_lp │                                  client │                       employmentstateid │                                       1 │
│                          balance_fdw_lp │                                  client │                               firstname │                                       1 │
│                          balance_fdw_lp │                                  client │                                  gender │                                       1 │
│                          balance_fdw_lp │                                  client │                                lastname │                                       1 │
│                          balance_fdw_lp │                                  client │                              middlename │                                       1 │
│                          balance_fdw_lp │                                  client │                                     ssn │                                       1 │
│                          balance_fdw_lp │                                  client │                                    ssn4 │                                       1 │
│                          balance_fdw_lp │                                  client │                                 stateid │                                       1 │
│                          balance_fdw_lp │                                  client │                          supervisorname │                                       1 │
│                          balance_fdw_lp │                             clientflags │                                flagname │                                       1 │
│                          balance_fdw_lp │                customer_employer_entity │                            company_name │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                         access_password │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                         access_username │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                            company_name │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                            contact_name │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                                   email │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                              first_name │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                                  gender │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                               last_name │                                       1 │
│                          balance_fdw_lp │                         customer_entity │                             middle_name │                                       1 │
│                          balance_fdw_lp │                   customer_phone_entity │                            carrier_name │                                       1 │
│                          balance_fdw_lp │                          deletion_audit │                              table_name │                                       1 │
│                          balance_fdw_lp │                                 dm_file │                            campaignname │                                       1 │
│                          balance_fdw_lp │                                 dm_file │                                filename │                                       1 │
│                          balance_fdw_lp │                                 dm_file │                        originalfilename │                                       1 │
│                          balance_fdw_lp │                               documents │                                    name │                                       1 │
│                          balance_fdw_lp │                        installmentloans │                              state_code │                                       1 │
│                          balance_fdw_lp │                   installmentloans_view │                              state_code │                                       1 │
│                          balance_fdw_lp │                                    loan │                        leadprovidername │                                       1 │
│                          balance_fdw_lp │                                    loan │                                   state │                                       1 │
│                          balance_fdw_lp │                                    loan │                               storename │                                       1 │
│                          balance_fdw_lp │                     loan_autopay_entity │                                    name │                                       1 │
│                          balance_fdw_lp │                      loans_loansettings │                                   state │                                       1 │
│                          balance_fdw_lp │            origination_refinance_offers │                       bsf_email_address │                                       1 │
│                          balance_fdw_lp │            origination_refinance_offers │                              state_code │                                       1 │
│                          balance_fdw_lp │                          payment_entity │                     payment_method_name │                                       1 │
│                          balance_fdw_lp │                   pricing_rates_control │                              state_code │                                       1 │
│                          balance_fdw_lp │                      pricing_rates_test │                              state_code │                                       1 │
