╭──────────────────────────────────────────────────────────────┬──────────────────────────────────────────────────────────────┬──────────────────────────────────────────────────────────────┬──────────────────────────────────────────────────────────────╮
│                                                    analytics │                                          fact_finance_backup │                                             client_firstname │                                                            1 │
│                                                    analytics │                                          fact_finance_backup │                                              client_lastname │                                                            1 │
│                                                    analytics │                                          fact_finance_backup │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                          fact_finance_backup │                                                   state_code │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                             client_firstname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                              client_lastname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                                   state_code │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_5_30 │                                                  state_owner │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                             client_firstname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                              client_lastname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                                   state_code │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_6_30 │                                                  state_owner │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                             client_firstname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                              client_lastname │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                                   state_code │                                                            1 │
│                                                    analytics │                                fact_finance_delta_08_20_7_30 │                                                  state_owner │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                             client_firstname │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                              client_lastname │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                                   state_code │                                                            1 │
│                                                    analytics │                                     fact_finance_transaction │                                                  state_owner │                                                            1 │
│                                                    analytics │                            fact_finance_transaction_21062019 │                                             client_firstname │                                                            1 │
│                                                    analytics │                            fact_finance_transaction_21062019 │                                              client_lastname │                                                            1 │
│                                                    analytics │                            fact_finance_transaction_21062019 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                            fact_finance_transaction_21062019 │                                                   state_code │                                                            1 │
│                                                    analytics │                                    fact_finance_transactions │                                             client_firstname │                                                            1 │
│                                                    analytics │                                    fact_finance_transactions │                                              client_lastname │                                                            1 │
│                                                    analytics │                                    fact_finance_transactions │                                               endpoint_state │                                                            1 │
│                                                    analytics │                                    fact_finance_transactions │                                                   state_code │                                                            1 │
│                                                    analytics │                           fact_finance_transactions_07152019 │                                             client_firstname │                                                            1 │
│                                                    analytics │                           fact_finance_transactions_07152019 │                                              client_lastname │                                                            1 │
│                                                    analytics │                           fact_finance_transactions_07152019 │                                               endpoint_state │                                                            1 │
│                                                    analytics │                           fact_finance_transactions_07152019 │                                                   state_code │                                                            1 │
│                                                    analytics │         fact_leads_underwriting_backup_delete_after_20190601 │                                                        state │                                                            1 │
│                                                    analytics │                                 fact_leads_underwriting_dups │                                                        state │                                                            1 │
│                                                    analytics │                                      fact_roi_customer_level │                                       social_security_number │                                                            1 │
│                                                    analytics │                                          fact_roi_loan_level │                                       social_security_number │                                                            1 │
│                                                    analytics │                                  factt_model_yacu_final_temp │                                                    state_adj │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                                           address_line1_case │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                 cd_cxtbs_bank_account_crosstab_email_address │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                          cd_cxtbs_email_address_crosstab_ssn │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                  cd_cxtbs_home_address_crosstab_bank_account │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                    cd_cxtbs_home_address_crosstab_cell_phone │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                    cd_cxtbs_home_address_crosstab_home_phone │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                             cd_cxtbs_ssn_crosstab_home_phone │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                cf_stab_home_address_stability_10_minutes_ago │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                  cf_stab_home_address_stability_24_hours_ago │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                   cf_stab_home_address_stability_90_days_ago │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                                                    city_case │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                                              first_name_case │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                                               last_name_case │                                                            1 │
│                                                    analytics │                                       fraud_holdout_20180710 │                                             name_in_email_id │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                                           address_line1_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                 cd_cxtbs_bank_account_crosstab_email_address │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                          cd_cxtbs_email_address_crosstab_ssn │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                  cd_cxtbs_home_address_crosstab_bank_account │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                    cd_cxtbs_home_address_crosstab_cell_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                    cd_cxtbs_home_address_crosstab_home_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                             cd_cxtbs_ssn_crosstab_home_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                cf_stab_home_address_stability_10_minutes_ago │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                  cf_stab_home_address_stability_24_hours_ago │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                   cf_stab_home_address_stability_90_days_ago │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                                                    city_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                                              first_name_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                                               last_name_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180618 │                                             name_in_email_id │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                                           address_line1_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                 cd_cxtbs_bank_account_crosstab_email_address │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                          cd_cxtbs_email_address_crosstab_ssn │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                  cd_cxtbs_home_address_crosstab_bank_account │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                    cd_cxtbs_home_address_crosstab_cell_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                    cd_cxtbs_home_address_crosstab_home_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                             cd_cxtbs_ssn_crosstab_home_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                cf_stab_home_address_stability_10_minutes_ago │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                  cf_stab_home_address_stability_24_hours_ago │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                   cf_stab_home_address_stability_90_days_ago │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                                                    city_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                                              first_name_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                                               last_name_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180619 │                                             name_in_email_id │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                                           address_line1_case │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                 cd_cxtbs_bank_account_crosstab_email_address │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                          cd_cxtbs_email_address_crosstab_ssn │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                  cd_cxtbs_home_address_crosstab_bank_account │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                    cd_cxtbs_home_address_crosstab_cell_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                    cd_cxtbs_home_address_crosstab_home_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                             cd_cxtbs_ssn_crosstab_home_phone │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                cf_stab_home_address_stability_10_minutes_ago │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                  cf_stab_home_address_stability_24_hours_ago │                                                            1 │
│                                                    analytics │                                           fraud_var_20180620 │                   cf_stab_home_address_stability_90_days_ago │                                                            1 │
